ping	200	admin/ping?wt=json
select_all	200	select?q=*:*&rows=10&wt=json
select_term	200	select?q=lazy&df=body&fl=id,body&rows=2&start=0&wt=json
select_paged	200	select?q=*:*&rows=2&start=3&wt=json
select_fq	200	select?q=*:*&fq=category:animals&wt=json
select_fq_multi	200	select?q=*:*&fq=category:animals&fq=category:classic&wt=json
select_sort	200	select?q=*:*&sort=id+desc&rows=3&wt=json
facet_basic	200	select?q=*:*&rows=0&facet=true&facet.field=category&wt=json
facet_mincount	200	select?q=*:*&rows=0&facet=true&facet.field=category&facet.mincount=2&wt=json
facet_limit	200	select?q=*:*&rows=0&facet=true&facet.field=category&facet.limit=1&wt=json
facet_missing	200	select?q=*:*&rows=0&facet=true&facet.field=category&facet.missing=true&wt=json
facet_sort_index	200	select?q=*:*&rows=0&facet=true&facet.field=category&facet.sort=index&wt=json
facet_query	200	select?q=*:*&rows=0&facet=true&facet.query=category:animals&wt=json
facet_json_nl_map	200	select?q=*:*&rows=0&facet=true&facet.field=category&json.nl=map&wt=json
select_zero	200	select?q=zzzznope&df=body&wt=json
facet_zero	200	select?q=zzzznope&df=body&rows=0&facet=true&facet.field=category&wt=json
facet_all_filtered	200	select?q=*:*&rows=0&facet=true&facet.field=category&facet.mincount=99&wt=json
select_past_end	200	select?q=*:*&rows=10&start=999&wt=json
select_fl_missing	200	select?q=*:*&rows=1&fl=id,nosuchfield&wt=json
select_rows_zero	200	select?q=*:*&rows=0&wt=json
select_doc_no_field	200	select?q=id:doc5&wt=json
err_unknown_field	400	select?q=nosuchfield:x&wt=json
err_bad_syntax	400	select?q=*:*&fq=category:[unclosed&wt=json
err_bad_sort	400	select?q=*:*&sort=body+desc&wt=json
err_unknown_param	200	select?q=*:*&notaparam=1&wt=json
err_missing_q	200	select?wt=json
select_sort_asc	200	select?q=*:*&sort=id+asc&rows=3&wt=json
select_sort_score_all	200	select?q=*:*&sort=score+desc&rows=10&wt=json
select_sort_score_desc	200	select?q=lazy&df=body&sort=score+desc&rows=5&wt=json
select_sort_score_asc	200	select?q=lazy&df=body&sort=score+asc&rows=5&wt=json
select_sort_multi_asc	200	select?q=*:*&sort=score+desc,id+asc&rows=5&wt=json
select_sort_multi_desc	200	select?q=*:*&sort=score+desc,id+desc&rows=5&wt=json
select_sort_paged	200	select?q=*:*&sort=id+desc&rows=2&start=2&wt=json
select_sort_paged_past_end	200	select?q=*:*&sort=id+desc&rows=2&start=99&wt=json
select_sort_mv_asc	200	select?q=*:*&sort=category+asc&wt=json
select_sort_mv_desc	200	select?q=*:*&sort=category+desc&wt=json
err_sort_bad_clause_among_good	400	select?q=*:*&sort=id+asc,body+desc&wt=json
err_sort_bad_direction	400	select?q=*:*&sort=id+sideways&wt=json
err_sort_no_direction	400	select?q=*:*&sort=id&wt=json
err_sort_score_bad_direction	400	select?q=*:*&sort=score+sideways&wt=json
err_sort_field_before_direction	400	select?q=*:*&sort=body+desc,id+sideways&wt=json
err_sort_direction_before_field	400	select?q=*:*&sort=body+sideways&wt=json
facet_multi_field	200	select?q=*:*&rows=0&facet=true&facet.field=category&facet.field=id&wt=json
